,Disneyland Railroad (Main St),Big Thunder Mountain,Phantom Manor,Thunder Mesa Riverboat Landing,Pirates of the Caribbean,Indiana Jones and the Temple of Peril,Adventure Isle,Aladdin's Enchanted Passage,Swiss Family Treehouse,It's a Small World,Peter Pan's Flight,Sleeping Beauty Castle Walkthrough,Pinocchio's Fantastic Journey,Snow White and the Seven Dwarfs,Dumbo the Flying Elephant,Mad Hatter's Tea Cups,Alice's Curious Labyrinth,Lancelot's Carousel,Storybook Land Canal Boats,Casey Jr. Circus Train,Hyperspace Mountain,Star Tours,Buzz Lightyear Laser Blast,Autopia,Orbitron,The Mysteries of the Nautilus,Mickey's PhilharMagic
Disneyland Railroad (Main St),1,6,5,6,4,4,4,4,4,6,6,4,5,5,6,6,5,6,6,6,6,5,5,6,6,5,5
Big Thunder Mountain,6,1,1,1,2,2,2,2,2,4,4,4,4,5,5,5,5,4,5,5,7,7,6,7,7,7,6
Phantom Manor,5,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,5,4,4,5,6,6,6,6,6,6,6
Thunder Mesa Riverboat Landing,6,1,1,1,2,2,2,2,2,4,4,3,4,4,5,5,5,4,4,5,7,6,6,7,6,6,6
Pirates of the Caribbean,4,2,1,2,1,1,1,1,1,4,3,2,3,4,4,4,4,3,4,4,6,5,5,6,6,5,5
Indiana Jones and the Temple of Peril,4,2,1,2,1,1,1,1,1,5,4,3,4,4,5,5,5,4,5,5,6,6,6,6,6,6,6
Adventure Isle,4,2,1,2,1,1,1,1,1,4,4,3,4,4,4,4,5,4,4,5,6,6,5,6,6,6,5
Aladdin's Enchanted Passage,4,2,1,2,1,1,1,1,1,4,3,2,3,4,4,4,4,4,4,5,5,5,5,6,5,5,5
Swiss Family Treehouse,4,2,1,2,1,1,1,1,1,4,3,2,3,4,4,4,4,3,4,4,5,5,5,6,5,5,5
It's a Small World,6,4,4,4,4,5,4,4,4,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
Peter Pan's Flight,6,4,4,4,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3
Sleeping Beauty Castle Walkthrough,4,4,3,3,2,3,3,2,2,2,1,1,1,1,2,2,2,1,2,2,3,3,3,3,3,3,3
Pinocchio's Fantastic Journey,5,4,4,4,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2
Snow White and the Seven Dwarfs,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Dumbo the Flying Elephant,6,5,4,5,4,5,4,4,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Mad Hatter's Tea Cups,6,5,4,5,4,5,4,4,4,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Alice's Curious Labyrinth,5,5,5,5,4,5,5,4,4,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2
Lancelot's Carousel,6,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3
Storybook Land Canal Boats,6,5,4,4,4,5,4,4,4,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,2,2,3
Casey Jr. Circus Train,6,5,5,5,4,5,5,5,4,1,1,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2
Hyperspace Mountain,6,7,6,7,6,6,6,5,5,3,3,3,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1
Star Tours,5,7,6,6,5,6,6,5,5,3,3,3,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1
Buzz Lightyear Laser Blast,5,6,6,6,5,6,5,5,5,3,3,3,3,2,2,2,2,3,3,3,1,1,1,1,1,1,1
Autopia,6,7,6,7,6,6,6,6,6,3,3,3,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1
Orbitron,6,7,6,6,6,6,6,5,5,3,3,3,3,2,2,2,2,3,2,2,1,1,1,1,1,1,1
The Mysteries of the Nautilus,5,7,6,6,5,6,6,5,5,3,3,3,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1
Mickey's PhilharMagic,5,6,6,6,5,6,5,5,5,3,3,3,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1
